audit_event_id,event_at,actor,event_type,entity_type,entity_id,restaurant_id,related_deal_id,related_source_id,related_source_capture_id,related_direct_confirmation_id,related_source_check_id,related_review_task_id,before_state_ref,after_state_ref,summary,evidence_ref,notes,fixture_data_class,is_live_data,prototype_notice
aud-beat-street-smashburgers-published,2026-06-02T13:15:00-04:00,codex_phase_1h,deal_published,deal,deal-beat-street-wednesday-7-smashburgers,beat-street,deal-beat-street-wednesday-7-smashburgers,src-beat-street-primary,cap-beat-street-2026-06-02-smashburgers,,chk-beat-street-2026-06-02-smashburgers,rt-beat-street-smashburgers-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-beat-street-wednesday-5-burger,fixtures/prototype/deals.csv#deal-beat-street-wednesday-7-smashburgers,Source-backed Beat Street Wednesday smashburger deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-beat-street-primary.md,Static prototype deal; supersedes the older user-note $5 burger claim and uses current official wording.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-true-blue-smash-burgers-published,2026-06-02T13:15:00-04:00,codex_phase_1h,deal_published,deal,deal-true-blue-butcher-table-wednesday-7-smash-burgers,true-blue-butcher-table,deal-true-blue-butcher-table-wednesday-7-smash-burgers,src-true-blue-butcher-table-primary,cap-true-blue-butcher-table-2026-06-02-smash-burgers,,chk-true-blue-butcher-table-2026-06-02-smash-burgers,rt-true-blue-smash-burgers-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-true-blue-butcher-and-table-wednesday-5-burger,fixtures/prototype/deals.csv#deal-true-blue-butcher-table-wednesday-7-smash-burgers,Source-backed True Blue Butcher & Table Wednesday smash burger deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-true-blue-butcher-table-primary.md,Static prototype deal; supersedes the older user-note $5 burger claim and uses current official wording.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-rx-oyster-happy-hour-published,2026-06-02T13:15:00-04:00,codex_phase_1h,deal_published,deal,deal-rx-chicken-oysters-wed-fri-half-price-oysters,rx-chicken-oysters,deal-rx-chicken-oysters-wed-fri-half-price-oysters,src-rx-chicken-oysters-primary,cap-rx-chicken-oysters-2026-06-02-oyster-happy-hour,,chk-rx-chicken-oysters-2026-06-02-oyster-happy-hour,rt-rx-oyster-happy-hour-public-review,research/source-verification-2026-06-01.md,fixtures/prototype/deals.csv#deal-rx-chicken-oysters-wed-fri-half-price-oysters,Source-backed Rx Chicken & Oysters oyster happy hour approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-rx-chicken-oysters-primary.md,Static prototype deal; food-only copy approved and alcohol specials suppressed.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-south-front-empanadas-published,2026-06-02T14:25:00-04:00,codex_phase_1i,deal_published,deal,deal-south-front-tavern-monday-4-empanadas,south-front-tavern,deal-south-front-tavern-monday-4-empanadas,src-south-front-tavern-primary,cap-south-front-tavern-2026-06-02-weekly-food-specials,,chk-south-front-tavern-2026-06-02-weekly-food-specials,rt-south-front-empanadas-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-south-front-tavern-monday-4-empanadas,fixtures/prototype/deals.csv#deal-south-front-tavern-monday-4-empanadas,Source-backed South Front Tavern Monday empanada deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-south-front-tavern-primary.md,Static prototype deal; food-only copy approved and drink language suppressed.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-south-front-quesadillas-published,2026-06-02T14:25:00-04:00,codex_phase_1i,deal_published,deal,deal-south-front-tavern-wednesday-half-price-quesadillas,south-front-tavern,deal-south-front-tavern-wednesday-half-price-quesadillas,src-south-front-tavern-primary,cap-south-front-tavern-2026-06-02-weekly-food-specials,,chk-south-front-tavern-2026-06-02-weekly-food-specials,rt-south-front-quesadillas-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-south-front-tavern-wednesday-1-2-price-quesadillas,fixtures/prototype/deals.csv#deal-south-front-tavern-wednesday-half-price-quesadillas,Source-backed South Front Tavern Wednesday quesadilla deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-south-front-tavern-primary.md,Static prototype deal; food-only copy approved and dine-in restriction captured.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-south-front-smashburger-published,2026-06-02T14:25:00-04:00,codex_phase_1i,deal_published,deal,deal-south-front-tavern-thursday-5-smashburger,south-front-tavern,deal-south-front-tavern-thursday-5-smashburger,src-south-front-tavern-primary,cap-south-front-tavern-2026-06-02-weekly-food-specials,,chk-south-front-tavern-2026-06-02-weekly-food-specials,rt-south-front-smashburger-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-south-front-tavern-thursday-5-smashburger,fixtures/prototype/deals.csv#deal-south-front-tavern-thursday-5-smashburger,Source-backed South Front Tavern Thursday SmashBurger deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-south-front-tavern-primary.md,Static prototype deal; food-only copy approved and dine-in restriction captured.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-south-front-bar-bites-published,2026-06-02T14:25:00-04:00,codex_phase_1i,deal_published,deal,deal-south-front-tavern-friday-5-bar-bites,south-front-tavern,deal-south-front-tavern-friday-5-bar-bites,src-south-front-tavern-primary,cap-south-front-tavern-2026-06-02-weekly-food-specials,,chk-south-front-tavern-2026-06-02-weekly-food-specials,rt-south-front-bar-bites-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-south-front-tavern-friday-5-bar-bites,fixtures/prototype/deals.csv#deal-south-front-tavern-friday-5-bar-bites,Source-backed South Front Tavern Friday bar bites deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-south-front-tavern-primary.md,Static prototype deal; food-only copy approved and time window captured.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-cardinal-pizza-published,2026-06-02T14:25:00-04:00,codex_phase_1i,deal_published,deal,deal-the-cardinal-tuesday-half-price-pizza,the-cardinal,deal-the-cardinal-tuesday-half-price-pizza,src-the-cardinal-primary,cap-the-cardinal-2026-06-02-weekly-food-specials,,chk-the-cardinal-2026-06-02-weekly-food-specials,rt-cardinal-pizza-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-the-cardinal-tuesday-half-price-pizza,fixtures/prototype/deals.csv#deal-the-cardinal-tuesday-half-price-pizza,Source-backed The Cardinal Tuesday pizza deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-the-cardinal-primary.md,Static prototype deal; food-only copy approved and drink language suppressed.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-cardinal-burgers-published,2026-06-02T14:25:00-04:00,codex_phase_1i,deal_published,deal,deal-the-cardinal-wednesday-5-burgers,the-cardinal,deal-the-cardinal-wednesday-5-burgers,src-the-cardinal-primary,cap-the-cardinal-2026-06-02-weekly-food-specials,,chk-the-cardinal-2026-06-02-weekly-food-specials,rt-cardinal-burgers-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-the-cardinal-wednesday-5-burgers,fixtures/prototype/deals.csv#deal-the-cardinal-wednesday-5-burgers,Source-backed The Cardinal Wednesday burger deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-the-cardinal-primary.md,Static prototype deal; food-only copy approved and drink language suppressed.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-kornerstone-mussels-published,2026-06-02T14:25:00-04:00,codex_phase_1i,deal_published,deal,deal-kornerstone-bistro-tuesday-half-price-mussels,kornerstone-bistro,deal-kornerstone-bistro-tuesday-half-price-mussels,src-kornerstone-bistro-primary,cap-kornerstone-bistro-2026-06-02-weekly-food-specials,,chk-kornerstone-bistro-2026-06-02-weekly-food-specials,rt-kornerstone-mussels-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-kornerstone-bistro-tuesday-1-2-price-mussels,fixtures/prototype/deals.csv#deal-kornerstone-bistro-tuesday-half-price-mussels,Source-backed Kornerstone Bistro Tuesday mussels deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-kornerstone-bistro-primary.md,Static prototype deal; food-only copy approved and drink language suppressed.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-caprice-mussel-mondays-published,2026-06-02T15:10:00-04:00,codex_phase_1j,deal_published,deal,deal-caprice-bistro-monday-mussel-mondays,caprice-bistro,deal-caprice-bistro-monday-mussel-mondays,src-caprice-bistro-primary,cap-caprice-bistro-2026-06-02-expanded-specials,,chk-caprice-bistro-2026-06-02-expanded-specials,rt-caprice-mussel-mondays-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-caprice-bistro-monday-mussel-mondays,fixtures/prototype/deals.csv#deal-caprice-bistro-monday-mussel-mondays,Source-backed Caprice Bistro Mussel Mondays deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-caprice-bistro-primary.md,Static prototype deal; food-only copy approved from official source evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-caprice-petit-plates-published,2026-06-02T15:10:00-04:00,codex_phase_1j,deal_published,deal,deal-caprice-bistro-daily-7-petit-plates,caprice-bistro,deal-caprice-bistro-daily-7-petit-plates,src-caprice-bistro-primary,cap-caprice-bistro-2026-06-02-expanded-specials,,chk-caprice-bistro-2026-06-02-expanded-specials,rt-caprice-petit-plates-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-caprice-bistro-daily-7-petit-plates,fixtures/prototype/deals.csv#deal-caprice-bistro-daily-7-petit-plates,Source-backed Caprice Bistro $7 Petit Plates deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-caprice-bistro-primary.md,Static prototype deal; food-only copy approved from official source evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-true-blue-appetizers-published,2026-06-02T15:10:00-04:00,codex_phase_1j,deal_published,deal,deal-true-blue-butcher-table-fri-sat-half-priced-appetizers,true-blue-butcher-table,deal-true-blue-butcher-table-fri-sat-half-priced-appetizers,src-true-blue-butcher-table-primary,cap-true-blue-butcher-table-2026-06-02-half-priced-appetizers,,chk-true-blue-butcher-table-2026-06-02-half-priced-appetizers,rt-true-blue-appetizers-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-true-blue-butcher-and-table-friday-saturday-half-priced-appetizers,fixtures/prototype/deals.csv#deal-true-blue-butcher-table-fri-sat-half-priced-appetizers,Source-backed True Blue Butcher & Table Half-priced appetizers deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-true-blue-butcher-table-primary.md,Static prototype deal; food-only copy approved from official source evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-za-pie-one-stop-published,2026-06-02T15:10:00-04:00,codex_phase_1j,deal_published,deal,deal-za-pie-pizzeria-daily-one-stop-special,za-pie-pizzeria,deal-za-pie-pizzeria-daily-one-stop-special,src-za-pie-pizzeria-primary,cap-za-pie-pizzeria-2026-06-02-menu-specials,,chk-za-pie-pizzeria-2026-06-02-menu-specials,rt-za-pie-one-stop-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-za-pie-pizzeria-daily-one-stop-special,fixtures/prototype/deals.csv#deal-za-pie-pizzeria-daily-one-stop-special,Source-backed Za Pie Pizzeria One Stop Special deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-za-pie-pizzeria-primary.md,Static prototype deal; food-only copy approved from official source evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-za-pie-dinner-for-two-published,2026-06-02T15:10:00-04:00,codex_phase_1j,deal_published,deal,deal-za-pie-pizzeria-daily-dinner-for-two,za-pie-pizzeria,deal-za-pie-pizzeria-daily-dinner-for-two,src-za-pie-pizzeria-primary,cap-za-pie-pizzeria-2026-06-02-menu-specials,,chk-za-pie-pizzeria-2026-06-02-menu-specials,rt-za-pie-dinner-for-two-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-za-pie-pizzeria-daily-dinner-for-two,fixtures/prototype/deals.csv#deal-za-pie-pizzeria-daily-dinner-for-two,Source-backed Za Pie Pizzeria Dinner For Two deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-za-pie-pizzeria-primary.md,Static prototype deal; food-only copy approved from official source evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-block-taco-mon-tue-published,2026-06-02T15:10:00-04:00,codex_phase_1j,deal_published,deal,deal-block-taco-mon-tue-10-tacos-chips-salsa,block-taco,deal-block-taco-mon-tue-10-tacos-chips-salsa,src-block-taco-primary,cap-block-taco-2026-06-02-current-specials,,chk-block-taco-2026-06-02-current-specials,rt-block-taco-mon-tue-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-block-taco-monday-tuesday-taco-monday-and-tuesdays,fixtures/prototype/deals.csv#deal-block-taco-mon-tue-10-tacos-chips-salsa,Source-backed Block Taco Taco Monday & Tuesdays deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-block-taco-primary.md,Static prototype deal; food-only copy approved from official source evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-block-taco-brunch-published,2026-06-02T15:10:00-04:00,codex_phase_1j,deal_published,deal,deal-block-taco-fri-sun-20-brunch-special,block-taco,deal-block-taco-fri-sun-20-brunch-special,src-block-taco-primary,cap-block-taco-2026-06-02-current-specials,,chk-block-taco-2026-06-02-current-specials,rt-block-taco-brunch-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-block-taco-friday-saturday-sunday-weekend-brunch-special,fixtures/prototype/deals.csv#deal-block-taco-fri-sun-20-brunch-special,Source-backed Block Taco Weekend Brunch Special deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-block-taco-primary.md,Static prototype deal; food-only copy approved from official source evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-hells-kitchen-caesar-wrap-published,2026-06-02T15:10:00-04:00,codex_phase_1j,deal_published,deal,deal-hells-kitchen-monday-caesar-wrap,hells-kitchen,deal-hells-kitchen-monday-caesar-wrap,src-hells-kitchen-primary,cap-hells-kitchen-2026-06-02-expanded-lunch-specials,,chk-hells-kitchen-2026-06-02-expanded-lunch-specials,rt-hells-kitchen-caesar-wrap-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-hell-s-kitchen-monday-monday-caesar-wrap-and-fries,fixtures/prototype/deals.csv#deal-hells-kitchen-monday-caesar-wrap,Source-backed Hell's Kitchen Monday Caesar wrap and fries deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-hells-kitchen-primary.md,Static prototype deal; food-only copy approved from official source evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
aud-hells-kitchen-classic-burger-published,2026-06-02T15:10:00-04:00,codex_phase_1j,deal_published,deal,deal-hells-kitchen-wednesday-classic-hk-burger,hells-kitchen,deal-hells-kitchen-wednesday-classic-hk-burger,src-hells-kitchen-primary,cap-hells-kitchen-2026-06-02-expanded-lunch-specials,,chk-hells-kitchen-2026-06-02-expanded-lunch-specials,rt-hells-kitchen-classic-burger-public-review,ops/seeds/wilmington-deal-candidates.csv#seed-hell-s-kitchen-wednesday-wednesday-classic-hk-burger-and-fries,fixtures/prototype/deals.csv#deal-hells-kitchen-wednesday-classic-hk-burger,Source-backed Hell's Kitchen Wednesday Classic HK Burger and fries deal approved for static prototype public feed.,fixtures/prototype/evidence/verified-static/src-hells-kitchen-primary.md,Static prototype deal; food-only copy approved from official source evidence.,verified_static,false,Static prototype data. Deal availability is not live and must be confirmed against the listed evidence date.
