batch,restaurant,market_lane,scope_status,official_source_status,deal_signal_status,strongest_signal,source_url,priority,move_to_item_expansion,next_action
Breadth Batch 01,Fish Bites Seafood Restaurant,Monkey Junction / South Wilmington,Wilmington core,official_source_confirmed,C_manual_social_needed,"Official site directs users to social media for Daily Specials, but no exact item/price captured.",https://www.fishbitesseafood.com/,P2,No,"Capture official Facebook/Instagram daily-special post, or mark daily-only/manual."
Breadth Batch 01,Keg and Egg,Wilmington breakfast / bar lane,Wilmington core unverified,official_source_not_captured,C_manual_social_needed,Breakfast/brunch lead only; no official special terms captured.,,P3,No,Find official source or direct confirm; useful because it fills breakfast/morning coverage gap.
Breadth Batch 01,Boathouse Restaurant,Wilmington seafood / family lane,Wilmington core unverified,official_source_not_captured,C_manual_social_needed,Family/seafood coverage lead only; no exact official special captured.,,P3,No,"Run source discovery; if no special surface, mark checked-no-offer."
Breadth Batch 01,The Bridge Tender,Wrightsville Beach / Airlie boundary,Boundary review,official_source_confirmed,B_source_backed_terms_missing,Official homepage links Nightly Feature and states dinner Tue-Sun 4–9 PM; exact feature page target still not captured.,https://www.thebridgetender.com/,P2,No,"Manual browser capture Nightly Feature link; if inaccessible, direct confirmation."
Breadth Batch 02,RUMCOW.,Downtown / Castle Street,Wilmington core,official_site_confirmed_identity_only,C_manual_social_needed,Happy-hour food lead remains unproven from official source.,https://rumcowwilmington.com/,P2,No,Capture official Instagram/Facebook or direct-confirm happy-hour food terms; otherwise demote to coverage-only.
Breadth Batch 02,On Thyme Restaurant,Downtown / Castle Street,Wilmington core,official_site_fetch_blocked,C_manual_social_needed,Secondary happy-hour-food lead only.,https://www.oohyougotthyme.com/,P3,No,"Manual browser/social/direct-confirm. If official source still fails, mark source blocked and keep out of item expansion."
Breadth Batch 02,Fish House Grill,Wrightsville / Airlie boundary,Boundary review,official_site_confirmed,D_checked_no_offer_found,No exact food special captured.,https://www.thefishhousegrill.com/,P4,No,Do not reprocess until a social/current-special lead appears.
Breadth Batch 02,Bluewater Waterfront Grill,Wrightsville Beach,Boundary review,official_site_confirmed,D_checked_no_offer_found,"Sunday brunch exists, but no discount/special deal captured.",https://www.bluewaterdining.com/menu,P4,No,Park as coverage-only; revisit News & Events or social if a specific food special appears.
Breadth Batch 02,Oceanic at Crystal Pier,Wrightsville Beach,Boundary review,official_site_confirmed,D_checked_no_offer_found,Sunday brunch menu availability only.,https://www.oceanicrestaurant.com/our-menu,P4,No,Park as coverage-only; revisit if News & Events exposes a real food offer.
Breadth Batch 02,Vicious Biscuit — Wilmington,Mayfaire / Military Cutoff,Wilmington core,official_site_confirmed,B_source_backed_needs_capture,Rewards app says users can score a free biscuit Monday-Friday when dining in.,https://viciousbiscuit.com/,P1,Yes,Move to item-expansion as rewards/food row; capture rewards terms and Wilmington location screenshot.
Breadth Batch 02,Brasserie du Soleil,Mayfaire / Eastwood,Wilmington core,official_site_confirmed,D_checked_no_offer_found,Lunch/dinner/Sunday brunch menus and hours only; no food special captured.,https://brasseriedusoleil.com/,P4,No,Park as coverage-only; monitor official social/events for prix-fixe or date-night offers.
Breadth Batch 02,Little Dipper Fondue,Downtown / Front Street,Wilmington core,official_site_confirmed,C_experience_lead_not_deal,"Date Night experience copy exists, but no price/discount/schedule captured.",https://www.littledipperfondue.com/,P3,No,Keep out of item expansion unless a dated/price-backed date-night offer is captured.
Breadth Batch 02,The Eagles Dare,Downtown / Third Street,Wilmington core,official_site_confirmed,C_event_food_lead,Official events copy mentions food but no exact food terms.,https://www.theeaglesdare.com/,P3,No,Capture official events calendar/social for food-truck or event food offers; otherwise demote to venue coverage.
Breadth Batch 02,Hieronymus Seafood Restaurant & Oyster Bar,College Rd / UNCW,Wilmington core,official_source_not_captured,C_source_discovery_needed,No official-source special captured in this pass.,https://www.hieronymusseafood.com/,P3,No,Manual browser capture official website and social; classify as no-offer-found if no specials are visible.
Breadth Batch 02,Paddy's Hollow Restaurant & Pub,Downtown / Cotton Exchange,Wilmington core,official_site_confirmed,D_checked_no_offer_found,Official menu/hours/location confirmed; no deal terms captured.,https://www.paddyshollow.com/,P4,No,Park as coverage-only until official social/menu adds specials.
Breadth Batch 02,The German Cafe,Downtown / Cotton Exchange,Wilmington core,official_site_confirmed,E_suppressed_drink_only,Thursday half-price wine by the bottle is drink-only and suppressed.,https://www.thegermancafe.com/,P4,No,Do not add to public food feed; keep as suppressed market signal.
Breadth Batch 02,Islands Fresh Mex Grill,Multi-location Wilmington / Leland,Wilmington core plus Leland boundary,official_menu_confirmed,A_source_backed_candidate_after_review,Daily taco specials: before 5 PM and after 5 PM tiers with restrictions.,https://www.islandsfreshmexgrill.com/menu,P1,Yes,Move to item expansion as two rows: before-5 taco special and after-5 taco special; attach location rows.
Breadth Batch 02,Blueberry's Grill — Wilmington,Mayfaire / Eastwood,Wilmington core,official_site_confirmed,D_checked_no_offer_found,Official Wilmington location and hours confirmed; no special captured.,https://blueberrysgrill.com/,P4,No,Park as coverage-only; revisit social/order pages if a breakfast special appears.
Breadth Batch 02,Drift Coffee & Kitchen,Multi-location Wilmington / Carolina Beach,Wilmington core plus boundary,official_site_confirmed,C_loyalty_or_item_lead_not_deal,"Loyalty app and Biscoff Stack availability are signals, not standalone deals.",https://driftcoffee.kitchen/,P4,No,Keep as coverage-only unless a food reward or limited-time special with exact terms appears.
