Queue_Row,Batch,Restaurant,Offer_Item,Category,Meal_Period,Happy_Hour,Source_URL,Source_Group_ID,P1_Sprint_Status,Source_Text_Archive_Status,Text_Capture_Path,Text_Capture_Hash,Capture_Card_Path,Screenshot_Archive_Status,Food_Copy_Status,Scope_Status,Recurrence_Status,Price,Days_Schedule,Time_Window,Service_Mode,Source_Quote,Remaining_Blocker,Next_Action,Ready_For_Intake_Row
18,Batch 02,Junction 421,"Monday Daily Blue Plate: Baby Back Ribs $24; mac-n-cheese, coleslaw; while it lasts.",BBQ / Ribs,,No,https://junction421.com/dinner-menu/,sg-junction-421-junction421-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_current_html_text,source_capture_p1_sprint_2026-07-06/text_captures/sg-junction-421-junction421-com-junction-421.md,sha256:ade46f1f8d32162574118d94a91017827555b704ded35050bcf3337ee10282b5,source_capture_p1_sprint_2026-07-06/capture_cards/sg-junction-421-junction421-com-junction-421.png,browser_screenshot_or_web_archive_needed,food_copy_review,scope_ok,recurrence_ok,$24,Monday,Dinner service; open 4 PM–9 PM Monday,Dine-in/curbside pickup site context; review service mode before public copy,"DAILY BLUE PLATE (while it lasts). Monday. BABY BACK RIBS $24; mac-n-cheese, coleslaw.",browser_screenshot_or_web_archive_needed,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
19,Batch 02,Junction 421,"Saturday Daily Blue Plate: Grouper Oscar $37; crab, asparagus, bearnaise, mashed potatoes; while it lasts.",Daily / Weekly Specials,,No,https://junction421.com/dinner-menu/,sg-junction-421-junction421-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_current_html_text,source_capture_p1_sprint_2026-07-06/text_captures/sg-junction-421-junction421-com-junction-421.md,sha256:ade46f1f8d32162574118d94a91017827555b704ded35050bcf3337ee10282b5,source_capture_p1_sprint_2026-07-06/capture_cards/sg-junction-421-junction421-com-junction-421.png,browser_screenshot_or_web_archive_needed,food_copy_review,scope_ok,recurrence_ok,$37,Saturday,Dinner menu; site hours Fri-Sat 11 AM–9 PM,Dine-in/curbside pickup site context; review service mode before public copy,"SATURDAY. *GROUPER OSCAR $37; crab, asparagus, bearnaise, mashed potatoes.",browser_screenshot_or_web_archive_needed,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
20,Batch 02,Junction 421,Sunday Daily Blue Plate: Chicken and Biscuits $20 / Chicken Parmesan $27; while it lasts.,Daily / Weekly Specials,,No,https://junction421.com/dinner-menu/,sg-junction-421-junction421-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_current_html_text,source_capture_p1_sprint_2026-07-06/text_captures/sg-junction-421-junction421-com-junction-421.md,sha256:ade46f1f8d32162574118d94a91017827555b704ded35050bcf3337ee10282b5,source_capture_p1_sprint_2026-07-06/capture_cards/sg-junction-421-junction421-com-junction-421.png,browser_screenshot_or_web_archive_needed,food_copy_review,scope_ok,recurrence_ok,$20 / $27,Sunday,Dinner menu; site hours Sun 11 AM–8 PM,Dine-in/curbside pickup site context; review service mode before public copy,Sunday. CHICKEN AND BISCUITS $20; Sunday. CHICKEN PARMESAN $27.,browser_screenshot_or_web_archive_needed,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
21,Batch 02,Junction 421,"Thursday Daily Blue Plate: Stuffed Pork Chop $29; Swiss, mushroom, spinach, marsala sauce, mashed potatoes; while it lasts.",Daily / Weekly Specials,,No,https://junction421.com/dinner-menu/,sg-junction-421-junction421-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_current_html_text,source_capture_p1_sprint_2026-07-06/text_captures/sg-junction-421-junction421-com-junction-421.md,sha256:ade46f1f8d32162574118d94a91017827555b704ded35050bcf3337ee10282b5,source_capture_p1_sprint_2026-07-06/capture_cards/sg-junction-421-junction421-com-junction-421.png,browser_screenshot_or_web_archive_needed,food_copy_review,scope_ok,recurrence_ok,$29,Thursday,Dinner service; open 4 PM–9 PM Thursday,Dine-in/curbside pickup site context; review service mode before public copy,"Thursday. *Stuffed Pork Chop $29 gf; swiss, mushroom, spinach, marsala sauce, mashed potatoes.",browser_screenshot_or_web_archive_needed,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
22,Batch 02,Junction 421,"Tuesday Daily Blue Plate: Seafood in Parchment $25; haddock, shrimp, vegetables, rice pilaf; while it lasts.",Seafood / Oysters,,No,https://junction421.com/dinner-menu/,sg-junction-421-junction421-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_current_html_text,source_capture_p1_sprint_2026-07-06/text_captures/sg-junction-421-junction421-com-junction-421.md,sha256:ade46f1f8d32162574118d94a91017827555b704ded35050bcf3337ee10282b5,source_capture_p1_sprint_2026-07-06/capture_cards/sg-junction-421-junction421-com-junction-421.png,browser_screenshot_or_web_archive_needed,food_copy_review,scope_ok,recurrence_ok,$25,Tuesday,Dinner service; open 4 PM–9 PM Tuesday,Dine-in/curbside pickup site context; review service mode before public copy,"Tuesday. SEAFOOD IN PARCHMENT $25 gf; haddock, shrimp, vegetables, rice pilaf.",browser_screenshot_or_web_archive_needed,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
23,Batch 02,Junction 421,Wednesday Daily Blue Plate: Lasagna $22; five layers; while it lasts.,Daily / Weekly Specials,,No,https://junction421.com/dinner-menu/,sg-junction-421-junction421-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_current_html_text,source_capture_p1_sprint_2026-07-06/text_captures/sg-junction-421-junction421-com-junction-421.md,sha256:ade46f1f8d32162574118d94a91017827555b704ded35050bcf3337ee10282b5,source_capture_p1_sprint_2026-07-06/capture_cards/sg-junction-421-junction421-com-junction-421.png,browser_screenshot_or_web_archive_needed,food_copy_review,scope_ok,recurrence_ok,$22,Wednesday,Dinner service; open 4 PM–9 PM Wednesday,Dine-in/curbside pickup site context; review service mode before public copy,Wednesday. LASAGNA $22; five layers.,browser_screenshot_or_web_archive_needed,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
24,Batch 02,K38 Baja Grill - Carolina Beach,Cinco de Monday / Everything $5 food items,Other Food Special,,No,https://k38bajagrill.com/locations/carolina-beach/,sg-k38-baja-grill-carolina-beach-k38bajagrill-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_current_html_text_alcohol_adjacent,source_capture_p1_sprint_2026-07-06/text_captures/sg-k38-baja-grill-carolina-beach-k38bajagrill-com-k38-baja-grill-carolina-beach.md,sha256:cec20bbd87d5f1f4a3d724799a0d090fd3bca824e30e79a0c15d42c1053500f9,source_capture_p1_sprint_2026-07-06/capture_cards/sg-k38-baja-grill-carolina-beach-k38bajagrill-com-k38-baja-grill-carolina-beach.png,browser_screenshot_or_web_archive_needed,food_safe_copy_alcohol_suppression_required,carolina_beach_broad_market_review_ok,recurrence_ok,$5,Monday,Food specials start at 5 PM; end time not listed,Dine-in only,"Cinco de Monday (Everything $5): Baja Fish Tacos, Wannabe Margaritas, Large Queso, Large Guac, Large Elote, Poor Surfer, Chile Relleno, Chicken Elote Rolls. Food Specials start at 5:00pm ... All Specials are Dine In only.",browser_screenshot_or_web_archive_needed; food-safe copy / alcohol suppression required,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
25,Batch 02,K38 Baja Grill - Carolina Beach,Fajita Tuesday special priced fajitas,Mexican / Tacos,,No,https://k38bajagrill.com/locations/carolina-beach/,sg-k38-baja-grill-carolina-beach-k38bajagrill-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_current_html_text_alcohol_adjacent,source_capture_p1_sprint_2026-07-06/text_captures/sg-k38-baja-grill-carolina-beach-k38bajagrill-com-k38-baja-grill-carolina-beach.md,sha256:cec20bbd87d5f1f4a3d724799a0d090fd3bca824e30e79a0c15d42c1053500f9,source_capture_p1_sprint_2026-07-06/capture_cards/sg-k38-baja-grill-carolina-beach-k38bajagrill-com-k38-baja-grill-carolina-beach.png,browser_screenshot_or_web_archive_needed,food_safe_copy_alcohol_suppression_required,carolina_beach_broad_market_review_ok,recurrence_ok,special priced; exact price not listed,Tuesday,Food specials start at 5 PM; end time not listed,Dine-in only,"Fajita Tuesday's: Special Priced Fajitas, Includes Shrimp, Chicken or Veggie Fajitas. Food Specials start at 5:00pm ... All Specials are Dine In only.",browser_screenshot_or_web_archive_needed; food-safe copy / alcohol suppression required,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
26,Batch 02,K38 Baja Grill - Carolina Beach,Quesadilla Wednesday half-off De La Casa quesadilla,Mexican / Tacos,,No,https://k38bajagrill.com/locations/carolina-beach/,sg-k38-baja-grill-carolina-beach-k38bajagrill-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_current_html_text_alcohol_adjacent,source_capture_p1_sprint_2026-07-06/text_captures/sg-k38-baja-grill-carolina-beach-k38bajagrill-com-k38-baja-grill-carolina-beach.md,sha256:cec20bbd87d5f1f4a3d724799a0d090fd3bca824e30e79a0c15d42c1053500f9,source_capture_p1_sprint_2026-07-06/capture_cards/sg-k38-baja-grill-carolina-beach-k38bajagrill-com-k38-baja-grill-carolina-beach.png,browser_screenshot_or_web_archive_needed,food_safe_copy_alcohol_suppression_required,carolina_beach_broad_market_review_ok,recurrence_ok,50% off,Wednesday,Food specials start at 5 PM; end time not listed,Dine-in only,"Quesadilla Wednesday's: 1/2 Off De La Casa Quesadilla, Includes Chicken, Cheese or Veggie. Food Specials start at 5:00pm ... All Specials are Dine In only.",browser_screenshot_or_web_archive_needed; food-safe copy / alcohol suppression required,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
27,Batch 02,K38 Baja Grill - Porters Neck,Cinco de Monday / Everything $5 food items,Other Food Special,,No,https://k38bajagrill.com/locations/porters-neck/,sg-k38-baja-grill-porters-neck-k38bajagrill-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_current_html_text_alcohol_adjacent,source_capture_p1_sprint_2026-07-06/text_captures/sg-k38-baja-grill-porters-neck-k38bajagrill-com-k38-baja-grill-porters-neck.md,sha256:4d81f24659e211ce1bc53c203f89bd7e0b20e03a720e64e653db7b8c1885aa19,source_capture_p1_sprint_2026-07-06/capture_cards/sg-k38-baja-grill-porters-neck-k38bajagrill-com-k38-baja-grill-porters-neck.png,browser_screenshot_or_web_archive_needed,food_safe_copy_alcohol_suppression_required,scope_ok,recurrence_ok,$5,Monday,Food specials start at 5 PM; end time not listed,Dine-in only,"Cinco de Monday (Everything $5): Baja Fish Tacos, Wannabe Margaritas, Large Queso, Large Guac, Large Elote, Poor Surfer, Chile Relleno, Chicken Elote Rolls. Food Specials start at 5:00pm ... All Specials are Dine In only.",browser_screenshot_or_web_archive_needed; food-safe copy / alcohol suppression required,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
28,Batch 02,K38 Baja Grill - Porters Neck,Fajita Tuesday special priced fajitas,Mexican / Tacos,,No,https://k38bajagrill.com/locations/porters-neck/,sg-k38-baja-grill-porters-neck-k38bajagrill-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_current_html_text_alcohol_adjacent,source_capture_p1_sprint_2026-07-06/text_captures/sg-k38-baja-grill-porters-neck-k38bajagrill-com-k38-baja-grill-porters-neck.md,sha256:4d81f24659e211ce1bc53c203f89bd7e0b20e03a720e64e653db7b8c1885aa19,source_capture_p1_sprint_2026-07-06/capture_cards/sg-k38-baja-grill-porters-neck-k38bajagrill-com-k38-baja-grill-porters-neck.png,browser_screenshot_or_web_archive_needed,food_safe_copy_alcohol_suppression_required,scope_ok,recurrence_ok,special priced; exact price not listed,Tuesday,Food specials start at 5 PM; end time not listed,Dine-in only,"Fajita Tuesday's: Special Priced Fajitas, Includes Shrimp, Chicken or Veggie Fajitas. Food Specials start at 5:00pm ... All Specials are Dine In only.",browser_screenshot_or_web_archive_needed; food-safe copy / alcohol suppression required,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
29,Batch 02,K38 Baja Grill - Porters Neck,Quesadilla Wednesday half-off De La Casa quesadilla,Mexican / Tacos,,No,https://k38bajagrill.com/locations/porters-neck/,sg-k38-baja-grill-porters-neck-k38bajagrill-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_current_html_text_alcohol_adjacent,source_capture_p1_sprint_2026-07-06/text_captures/sg-k38-baja-grill-porters-neck-k38bajagrill-com-k38-baja-grill-porters-neck.md,sha256:4d81f24659e211ce1bc53c203f89bd7e0b20e03a720e64e653db7b8c1885aa19,source_capture_p1_sprint_2026-07-06/capture_cards/sg-k38-baja-grill-porters-neck-k38bajagrill-com-k38-baja-grill-porters-neck.png,browser_screenshot_or_web_archive_needed,food_safe_copy_alcohol_suppression_required,scope_ok,recurrence_ok,50% off,Wednesday,Food specials start at 5 PM; end time not listed,Dine-in only,"Quesadilla Wednesday's: 1/2 Off De La Casa Quesadilla, Includes Chicken, Cheese or Veggie. Food Specials start at 5:00pm ... All Specials are Dine In only.",browser_screenshot_or_web_archive_needed; food-safe copy / alcohol suppression required,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",yes_after_visual_capture_and_review
30,Batch 02,Might As Well Bar & Grill - Wilmington,Thursday $5.99 cheeseburgers,Burgers,,No,https://wilmington.mightaswellbarandgrill.com/wilmington-might-as-well-bar-and-grill-wilmington-happy-hours-specials,sg-might-as-well-bar-and-grill-wilmington-wilmington-mightaswellbarandgrill-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_current_html_date_specific_alcohol_adjacent,source_capture_p1_sprint_2026-07-06/text_captures/sg-might-as-well-bar-and-grill-wilmington-wilmington-mightaswellbarandgrill-com-might-as-w.md,sha256:b9fd015d515ff8ce56222f0b99c74ea28b4e7962a2b91301e9ae1d5aa00d475c,source_capture_p1_sprint_2026-07-06/capture_cards/sg-might-as-well-bar-and-grill-wilmington-wilmington-mightaswellbarandgrill-com-might-as-w.png,browser_screenshot_or_web_archive_needed,food_safe_copy_alcohol_suppression_required,scope_ok,recurrence_review_needed_date_labeled_specials,$5.99,Thursday July 9,12:00 PM–2:00 AM,Not explicitly scoped; restaurant/location page supports order/reserve links,Thursday July 9th — Thursday Game Night! $5.99 cheese burgers &$3.50 domestic beers all day — 12:00 PM - 02:00 AM.,browser_screenshot_or_web_archive_needed; food-safe copy / alcohol suppression required; recurrence_review_needed_date_labeled_specials,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",conditional_after_review
31,Batch 02,Might As Well Bar & Grill - Wilmington,Tuesday $1 cheese quesadilla,Mexican / Tacos,,No,https://wilmington.mightaswellbarandgrill.com/wilmington-might-as-well-bar-and-grill-wilmington-happy-hours-specials,sg-might-as-well-bar-and-grill-wilmington-wilmington-mightaswellbarandgrill-com,source_text_archived_capture_card_created_remaining_review_tasks,confirmed_current_html_date_specific_alcohol_adjacent,source_capture_p1_sprint_2026-07-06/text_captures/sg-might-as-well-bar-and-grill-wilmington-wilmington-mightaswellbarandgrill-com-might-as-w.md,sha256:b9fd015d515ff8ce56222f0b99c74ea28b4e7962a2b91301e9ae1d5aa00d475c,source_capture_p1_sprint_2026-07-06/capture_cards/sg-might-as-well-bar-and-grill-wilmington-wilmington-mightaswellbarandgrill-com-might-as-w.png,browser_screenshot_or_web_archive_needed,food_safe_copy_alcohol_suppression_required,scope_ok,recurrence_review_needed_date_labeled_specials,$1,Tuesday July 7,12:00 PM–2:00 AM,Not explicitly scoped; restaurant/location page supports order/reserve links,"Tuesday July 7th — Tex-Mex Tuesday! $3 margaritas, $1 cheese quesadilla — 12:00 PM - 02:00 AM.",browser_screenshot_or_web_archive_needed; food-safe copy / alcohol suppression required; recurrence_review_needed_date_labeled_specials,"Attach durable browser/PDF/image screenshot or archive, then run food-copy/scope/freshness review for exact intake rows.",conditional_after_review
