source_id,restaurant_id,source_type,source_tier,source_owner,source_url,collection_method,automation_allowed,permission_required,robots_or_terms_notes,wilmington_location_match,multi_location_risk,source_priority,source_status,requires_manual_check,login_required,volatile_source,expected_check_cadence_days,last_successful_check_at,last_failed_check_at,failure_reason,next_check_due,evidence_storage_path,notes
source:lazy-pirate-sports-grill-and-axe-throwing:20260705,lazy-pirate-sports-grill-and-axe-throwing,official_social_text,tier_2_official_social,Lazy Pirate official Facebook,https://www.facebook.com/lazypirateislandsportsgrill/posts/whos-ready-for-a-delicious-feast-we-have-ayce-crab-legs-from-4-8pm-every-day-com/1423716099783981/,gpt_browsing_fetch,unknown,unknown,,unconfirmed,false,normal,active,true,false,true,14,2026-07-05,,,,https://www.facebook.com/lazypirateislandsportsgrill/posts/whos-ready-for-a-delicious-feast-we-have-ayce-crab-legs-from-4-8pm-every-day-com/1423716099783981/,Auto-derived from deal-intake.csv on intake.
source:michael-s-seafood-restaurant:20260705,michael-s-seafood-restaurant,official_menu_text,tier_1_official,Michael's Seafood official menu,https://michaelsseafood.com/menu/,gpt_browsing_fetch,unknown,unknown,,unconfirmed,false,normal,active,true,false,false,14,2026-07-05,,,,https://michaelsseafood.com/menu/,Auto-derived from deal-intake.csv on intake.
source:stoked-restaurant:20260705,stoked-restaurant,toast_ordering_page,tier_1_official,Stoked Restaurant official Toast,https://order.toasttab.com/online/stoked-restaurant,gpt_browsing_fetch,unknown,unknown,,unconfirmed,false,normal,active,true,false,false,14,2026-07-05,,,,https://order.toasttab.com/online/stoked-restaurant,Auto-derived from deal-intake.csv on intake.
source:flaming-amy-s-burrito-barn:20260705,flaming-amy-s-burrito-barn,official_social_text,tier_2_official_social,Flaming Amy's Burrito Barn official Facebook,https://www.facebook.com/FlamingAmys/posts/taco-tuesday-at-flaming-amys-means-2-for-3-crunchy-tacos-all-day-plus-1-pbr-draf/10159247516556718/,gpt_browsing_fetch,unknown,unknown,,unconfirmed,false,normal,active,true,false,true,14,2026-07-05,,,,https://www.facebook.com/FlamingAmys/posts/taco-tuesday-at-flaming-amys-means-2-for-3-crunchy-tacos-all-day-plus-1-pbr-draf/10159247516556718/,Auto-derived from deal-intake.csv on intake.
source:si-se-or-modern-mex:20260705,si-se-or-modern-mex,official_social_text,tier_2_official_social,Si Señor Modern Mex official Facebook,https://www.facebook.com/sisenormodernmex/posts/check-out-our-new-daily-specials-and-come-join-the-fiesta-tonight-margarita-mond/4313837435327291/,gpt_browsing_fetch,unknown,unknown,,unconfirmed,false,normal,active,true,false,true,14,2026-07-05,,,,https://www.facebook.com/sisenormodernmex/posts/check-out-our-new-daily-specials-and-come-join-the-fiesta-tonight-margarita-mond/4313837435327291/,Auto-derived from deal-intake.csv on intake.
source:la-tapatia-taqueria:20260705,la-tapatia-taqueria,official_menu_text,tier_1_official,La Tapatia Taqueria official lunch menu,https://latapatiawilmington.com/lunch/,gpt_browsing_fetch,unknown,unknown,,unconfirmed,false,normal,active,true,false,false,14,2026-07-05,,,,https://latapatiawilmington.com/lunch/,Auto-derived from deal-intake.csv on intake.
source:miranda-mexican-restaurant:20260705,miranda-mexican-restaurant,official_social_text,tier_2_official_social,Miranda Mexican Restaurant official Facebook,https://www.facebook.com/MirandaMexicanRestaurantWilmington/posts/join-us-every-tuesday-for-taco-tuesday-all-tacos-start-at-250-at-miranda-mexican/122139641888463499/,gpt_browsing_fetch,unknown,unknown,,unconfirmed,false,normal,active,true,false,true,14,2026-07-05,,,,https://www.facebook.com/MirandaMexicanRestaurantWilmington/posts/join-us-every-tuesday-for-taco-tuesday-all-tacos-start-at-250-at-miranda-mexican/122139641888463499/,Auto-derived from deal-intake.csv on intake.
source:spindles-filling-station-spindles-at-the-pointe:20260705,spindles-filling-station-spindles-at-the-pointe,official_social_text,tier_2_official_social,Spindles official Facebook,https://www.facebook.com/spindlesatthepointe/posts/happy-thirsty-thursday-also-known-as-wing-night-at-the-patio-10-for-10-wings-or-/122149915220522301/,gpt_browsing_fetch,unknown,unknown,,unconfirmed,false,normal,active,true,false,true,14,2026-07-05,,,,https://www.facebook.com/spindlesatthepointe/posts/happy-thirsty-thursday-also-known-as-wing-night-at-the-patio-10-for-10-wings-or-/122149915220522301/,Auto-derived from deal-intake.csv on intake.
source:the-crown-and-fiddle-pub-and-kitchen:20260705,the-crown-and-fiddle-pub-and-kitchen,official_social_text,tier_2_official_social,The Crown & Fiddle official Instagram,https://www.instagram.com/thecrownandfiddle/,gpt_browsing_fetch,unknown,unknown,,unconfirmed,false,normal,active,true,false,true,14,2026-07-05,,,,https://www.instagram.com/thecrownandfiddle/,Auto-derived from deal-intake.csv on intake.
source:mi-rey-taqueria-and-grill:20260705,mi-rey-taqueria-and-grill,webpage_text,tier_1_official,Mi Rey Taqueria & Grill official website,https://www.mireytaqueriaygrillnc.com/home,gpt_browsing_fetch,unknown,unknown,,unconfirmed,false,normal,active,true,false,false,14,2026-07-05,,,,https://www.mireytaqueriaygrillnc.com/home,Auto-derived from deal-intake.csv on intake.
source:el-cerro-grande:20260705,el-cerro-grande,official_menu_text,tier_1_official,El Cerro Grande official menu,https://elcerrogranderestaurant.com/menu,gpt_browsing_fetch,unknown,unknown,,unconfirmed,false,normal,active,true,false,false,14,2026-07-05,,,,https://elcerrogranderestaurant.com/menu,Auto-derived from deal-intake.csv on intake.
source:antonio-s-pizza-and-pasta:20260705,antonio-s-pizza-and-pasta,toast_ordering_page,tier_1_official,Antonio's Pizza & Pasta official Toast,https://order.toasttab.com/online/antonios-pizza-monkey-junction-5932-carolina-beach-road-suite-100,gpt_browsing_fetch,unknown,unknown,,unconfirmed,false,normal,active,true,false,false,14,2026-07-05,,,,https://order.toasttab.com/online/antonios-pizza-monkey-junction-5932-carolina-beach-road-suite-100,Auto-derived from deal-intake.csv on intake.
source:dough-house-pizza-co:20260705,dough-house-pizza-co,toast_ordering_page,tier_1_official,Dough House Pizza Co official Toast,https://www.toasttab.com/local/order/dough-house-pizza-co-300-north-front-street,gpt_browsing_fetch,unknown,unknown,,unconfirmed,false,normal,active,true,false,false,14,2026-07-05,,,,https://www.toasttab.com/local/order/dough-house-pizza-co-300-north-front-street,Auto-derived from deal-intake.csv on intake.
source:ledo-pizza:20260705,ledo-pizza,webpage_text,tier_1_official,Ledo Pizza official deals page,https://ledopizza.com/menu/deals/,gpt_browsing_fetch,unknown,unknown,,unconfirmed,true,normal,active,true,false,false,14,2026-07-05,,,,https://ledopizza.com/menu/deals/,Auto-derived from deal-intake.csv on intake.
source:uncle-vinny-s-pizzeria-ristorante:20260705,uncle-vinny-s-pizzeria-ristorante,official_social_text,tier_2_official_social,Uncle Vinny's official Facebook,https://www.facebook.com/UncleVinnys/videos/-weekly-specials-at-uncle-vinnys-%EF%B8%8F-weekday-lunch-999-lunch-specials-from-open-ti/1993216958132796/,gpt_browsing_fetch,unknown,unknown,,unconfirmed,false,normal,active,true,false,true,14,2026-07-05,,,,https://www.facebook.com/UncleVinnys/videos/-weekly-specials-at-uncle-vinnys-%EF%B8%8F-weekday-lunch-999-lunch-specials-from-open-ti/1993216958132796/,Auto-derived from deal-intake.csv on intake.
source:henry-s-restaurant-and-bar:20260705,henry-s-restaurant-and-bar,webpage_text,tier_1_official,Henry's Restaurant & Bar official website,https://www.henrysrestaurant.com/,gpt_browsing_fetch,unknown,unknown,,unconfirmed,false,normal,active,true,false,false,14,2026-07-05,,,,https://www.henrysrestaurant.com/,Auto-derived from deal-intake.csv on intake.
source:ruckerjohns-of-wilmington:20260705,ruckerjohns-of-wilmington,webpage_text,tier_1_official,RuckerJohns of Wilmington official daily specials page,https://ruckerjohnswilmington.com/daily-specials/,gpt_browsing_fetch,unknown,unknown,,unconfirmed,false,normal,active,true,false,false,14,2026-07-05,,,,https://ruckerjohnswilmington.com/daily-specials/,Auto-derived from deal-intake.csv on intake.
source:the-harp:20260705,the-harp,webpage_text,tier_1_official,The Harp official specials page,https://harpwilmington.com/specials.html,gpt_browsing_fetch,unknown,unknown,,unconfirmed,false,normal,active,true,false,false,14,2026-07-05,,,,https://harpwilmington.com/specials.html,Auto-derived from deal-intake.csv on intake.
